despicable-me,0.9999997
tokyo!,0.75505143
seventh-son,0.630761
the-huntsman-winters-war,0.6272883
varsity-blues,0.62133414
celebrity,0.5921145
pitch-perfect,0.5819349
the-lunchbox,0.5612215
megamind,0.5580342
alexander-and-the-terrible-horrible-no-good-very-bad-day,0.5491819
unforgiven,0.5478176
top-spin,0.5150818
step-up,0.5092989
the-one,0.5055107
gangs-of-new-york,0.50386083
natural-born-killers,0.49896693
valiant,0.4922787
show-me-love,0.48869047
superman-ii,0.48483828
election-1999,0.48214275
kamikaze-girls,0.48018646
battle-los-angeles,0.47210053
minions,0.46633962
tupac-resurrection,0.466287
the-walk,0.46190605
ramona-and-beezus,0.45545393
duplicity,0.4446553
thin-ice,0.4430421
conspiracy-theory,0.44029552
zombeavers,0.43763235
reservoir-dogs,0.4372057
10-things-i-hate-about-you,0.42956704
kick-ass-2,0.4042073
talladega-nights-the-ballad-of-ricky-bobby,0.40344164
city-of-ghosts-2017,0.4018365
42-forty-two-up,0.39850983
cowboys-aliens,0.39704317
wanted,0.3941682
state-of-play,0.3927605
the-great-beauty,0.39190194
wall-e,0.3911489
how-to-train-your-dragon,0.39009434
abraham-lincoln-vampire-hunter,0.38652167
baby-mama,0.3768274
trainwreck,0.37450475
the-invention-of-lying,0.3681013
spirited-away,0.3676285
monsters-inc,0.36631835
everest,0.36626214
the-abcs-of-death,0.3638452
